"380":"AC
"200":"AM
"380":"AVR
"290":"BARE
"380":"BAT
"340":"BDR
"340":"BDRE
"340":"BDREX
"340":"BDVD
"340":"BDVDL
"270":"CAB
"330":"CAS
"330":"CASA
"330":"CASI
"330":"CASM
"330":"CASRM
"590":"CC
"340":"CDR
"340":"CDRE
"340":"CDRW
"340":"CDVD
"340":"CDVDE
"340":"CDVDL
"240":"CEA"
"240":"CEL
"330":"CI
"270":"CNN
"320":"CNT
"310":"CNTL
"390":"CPU
"380":"DC
"340":"DVD
"340":"DVDE
"340":"DVDRW
"340":"DVDRWE
"340":"DVDRWL
"340":"DW
"340":"DWE
"340":"EN
"340":"ENCL
"340":"ENCLRM
"320":"FAN
"500":"FB
"320":"FCR
"340":"FDD
"340":"FDDE
"420":"FM
"550":"FN
"410":"GP
"410":"GT
"340":"HD
"340":"HDD
"340":"HDDCKR
"340":"HDDE
"340":"HDDL
"340":"HDDR
"340":"HDDRL
"340":"HDDS
"340":"HDE
"340":"HE
"340":"HG
"340":"HL
"340":"HLE"
"340":"HR
"340":"HRL
"340":"HS
"320":"HW
"410":"JS
"410":"KB
"410":"KBRM
"260":"KVM
"260":"KVMRM
"370":"LOGO
"370":"LS
"490":"MA
"360":"MB
"340":"MBR
"550":"MED
"340":"MFP
"370":"MIS
"310":"MOD
"410":"MS
"290":"MTL
"310":"ND
"310":"NET
"310":"NICD
"310":"NICDL
"310":"NICL
"310":"NICM
"310":"NICU
"310":"NICXC
"310":"NL
"310":"NRAC
"310":"NRG
"310":"NRN
"310":"NT
"310":"NU
"370":"OG
"280":"PB
"300":"PCL
"280":"PD
"280":"PDK
"280":"PDR
"300":"PL
"380":"PS
"380":"PSM
"420":"PT
"350":"RAMD
"350":"RAML
"410":"RW
"320":"SC
"470":"SE
"410":"SN
"410":"SP
"430":"STW
"550":"SUP
"440":"TAB
"510":"TG
"380":"UPS
"410":"USB
"400":"VA
"400":"VC
"400":"VN
"490":"WA
"410":"WC
"240":"WP
"250":"XG
