,,,,300,PL,LAPTOP COMPUTERS
,,,,380,PS,POWER SUPPLIES
,,,,380,PSM,MICRO POWER SUPPLIES
,,,,420,PT,PRINTERS
,,,,350,RAMD,DESKTOP MEMORY
,,,,350,RAML,LAPTOP MEMORY
,,,,410,RW,RACING WHEEL
,,,,320,SC,SOUND CARDS
,,,,470,SE,SECURITY EQUIPMENT
,,,,410,SN,SCANNERS
,,,,410,SP,SPEAKERS
,,,,430,STW,SOFTWARE
,,,,550,SUP,CONSUMABLE SUPPLIES (TONER,INK,PAPER)
,,,,440,TAB,TABLET DEVICES AND ACCESSORIES
,,,,510,TG,TOOLS AND GADGETS
,,,,380,UPS,UNINTERRUPTIBLE POWER SUPPLIES
,,,,410,USB,USB HUBS
,,,,400,VA,ATI BASED VIDEO CARDS
,,,,400,VC,VIDEO CARD ACCESSORIES
,,,,400,VN,NVIDIA BASED VIDEO CARDS
,,,,490,WA,WOMEN'S APPAREL
,,,,410,WC,WEBCAMS
,,,,240,WP,WIRELESS PHONES AND ACCESSORIES
,,,,250,XG,DAMAGED BUT FUNCTIONAL HARDWARE
